,xInit,yInit,colorInit,xPheno,yPheno,colorPheno
0,3900,100,m,3065.503,1212.471,m
1,2900,1100,m,296.187,1271.595,m
2,300,1100,m,5374.386,2246.644,m
3,5300,2100,m,3921.502,234.496,m
4,1300,3100,m,1390.256,3340.405,m
5,3300,3100,m,3393.346,3291.993,m
6,3700,3100,m,3813.128,3267.386,m
7,5500,3100,m,5525.919,3236.438,m
8,7900,3100,m,8015.672,3262.596,m
9,1100,4100,m,1122.829,4397.998,m
10,2100,4100,m,2296.962,4319.525,m
11,3100,4100,m,3145.207,4323.536,m
12,6500,4100,m,6605.288,4312.35,m
13,4900,5100,m,5058.135,5184.709,m
14,2500,6100,m,2540.893,6243.403,m
15,7900,6100,m,8106.167,6299.782,m
16,100,7100,m,160.304,7417.108,m
17,3300,7100,m,3522.822,7417.154,m
18,6100,7100,m,6265.875,7284.202,m
19,6900,7100,m,7045.534,7327.044,m
20,900,7100,m,972.09,7390.824,m
21,2300,1300,g,2221.252,1455.961,g
22,2900,1300,g,4552.172,1420.552,g
23,3100,300,g,2611.355,3489.471,g
24,4500,1300,g,3054.304,1503.815,g
25,6300,1300,g,6484.398,1511.037,g
26,7500,2300,g,7634.427,2435.548,g
27,4500,300,g,5167.676,3498.529,g
28,2500,3300,g,3262.151,390.541,g
29,500,3300,g,4548.298,431.992,g
30,5100,3300,g,618.612,3656.562,g
31,1500,4300,g,1401.273,4513.595,g
32,1700,4300,g,1868.196,4404.549,g
33,3700,5300,g,3840.508,5498.541,g
34,300,6300,g,412.378,6561.293,g
35,4300,6300,g,4443.658,6529.849,g
36,7500,6300,g,7659.503,6487.171,g
37,2100,7300,g,2264.352,7529.629,g
38,2500,1500,b,2473.464,1660.289,b
39,2700,1500,b,2841.457,1685.115,b
40,700,1500,b,655.945,1663.746,b
41,2100,3500,b,2089.964,3589.401,b
42,4500,1500,b,4532.824,1729.465,b
43,4900,1500,b,4943.473,2681.381,b
44,4900,2500,b,5039.937,1773.516,b
45,6100,2500,b,6284.917,2629.827,b
46,5900,3500,b,6032.404,3611.426,b
47,6500,3500,b,6683.526,3631.471,b
48,2500,500,b,4218.093,3696.104,b
49,4100,3500,b,4441.366,4696.342,b
50,4300,4500,b,4740.262,5694.925,b
51,6300,500,b,5215.626,5708.961,b
52,5700,500,b,4351.639,5742.973,b
53,4300,5500,b,2445.344,583.191,b
54,4500,5500,b,6465.985,577.26,b
55,5100,5500,b,6829.352,6650.78,b
56,1100,6500,b,1140.074,6732.427,b
57,1500,6500,b,1662.658,6841.415,b
58,6700,6500,b,5797.403,706.733,b
59,1900,7500,b,2059.925,7903.598,b
60,2500,1700,y,2432.868,2043.517,y
61,2900,1700,y,3091.543,1972.04,y
62,3300,1700,y,3453.676,1868.358,y
63,6300,1700,y,472.376,2806.078,y
64,7900,2700,y,6399.238,1881.089,y
65,3100,2700,y,3222.964,2872.898,y
66,500,2700,y,5983.12,2914.798,y
67,5900,2700,y,7753.556,2867.471,y
68,7700,2700,y,8140.896,2879.846,y
69,100,5700,y,197.333,5938.487,y
70,3100,4700,y,3209.119,4906.609,y
71,3300,5700,y,3422.53,5911.551,y
72,6500,3700,y,6653.554,3826.554,y
73,7500,3700,y,7674.361,3930.633,y
74,2700,6700,y,1413.405,6947.308,y
75,5700,6700,y,5885.914,6835.576,y
76,6900,6700,y,7184.208,6966.736,y
77,1300,6700,y,2420.073,7018.315,y
78,2300,6700,y,2893.931,6985.768,y
79,1100,700,y,1113.868,829.978,y
80,4500,700,y,1844.642,7985.327,y
81,5100,700,y,5027.466,7936.405,y
82,5300,700,y,5105.682,843.026,y
83,6100,700,y,6426.703,7899.796,y
84,1700,7700,y,4558.598,933.558,y
85,4900,7700,y,5408.764,845.981,y
86,6300,7700,y,6124.086,885.858,y
87,2700,1900,r,155.58,1109.631,r
88,6700,3900,r,1648.125,1158.077,r
89,7500,2900,r,2698.147,2206.707,r
90,6700,4900,r,7647.442,3059.683,r
91,3300,4900,r,6886.266,4062.251,r
92,5500,4900,r,7231.073,4923.707,r
93,1300,5900,r,3381.114,5065.508,r
94,300,5900,r,415.81,6014.153,r
95,7100,4900,r,5634.057,5071.036,r
96,7100,5900,r,6810.068,5038.696,r
97,7900,4900,r,8034.235,5074.854,r
98,3700,6900,r,1238.751,6066.594,r
99,5500,6900,r,3856.931,7081.916,r
100,6500,5900,r,6615.153,6082.096,r
101,6700,7900,r,7249.204,6082.881,r
102,1700,900,r,5608.104,7169.708,r
103,2700,900,r,6948.166,8077.107,r
104,100,900,r,2738.252,940.738,r
